 53 220 46 -35 0 0 0 37 12 122 58 204 93 117 103 28
 57 219 50 -43 0 0 0 37 13 119 61 198 102 110 104 20
 89 227 52 -47 0 0 0 32 35 120 93 201 131 92 104 4
 46 222 51 -45 0 0 0 30 11 113 54 196 101 117 101 16
 85 220 48 -38 0 0 0 39 28 125 87 203 121 106 103 7
 64 208 43 -39 0 0 0 36 22 111 67 191 104 102 101 18
 67 216 51 -37 0 0 0 35 17 119 68 191 108 109 94 15
 35 236 61 -42 0 0 0 33 2 119 43 211 90 126 104 30
 116 218 40 -38 0 0 0 41 41 124 116 201 133 94 103 12
 56 234 60 -34 0 0 0 34 12 121 58 215 109 119 112 28
 40 223 58 -36 0 0 0 34 9 113 46 202 97 120 112 24
 94 223 49 -57 0 0 0 33 31 122 94 206 136 99 113 -1
 68 222 59 -41 0 0 0 30 18 119 68 204 104 114 98 11
 65 224 56 -33 0 0 0 35 15 130 67 205 108 115 95 20
 67 214 52 -47 0 0 0 36 26 115 74 192 114 105 104 11
 110 213 52 -46 0 0 0 37 42 121 109 190 133 97 108 -8
 46 219 50 -42 0 0 0 36 11 121 56 199 104 108 102 21
 79 209 66 -43 0 0 0 35 24 114 84 193 108 115 109 14
 58 244 74 -22 0 0 0 37 7 131 64 219 98 128 100 29
 43 236 64 -43 0 0 0 33 12 124 52 215 110 121 105 7
 70 226 54 -37 0 0 0 39 28 121 74 204 122 105 107 7
 68 224 55 -37 0 0 0 35 18 121 71 207 109 108 98 13
 34 247 63 -35 0 0 0 35 4 124 45 225 104 135 110 29
 49 236 59 -40 0 0 0 38 19 127 59 219 105 121 109 25
 98 195 44 -44 0 0 0 36 30 116 98 177 121 89 105 10
 109 208 49 -40 0 0 0 36 29 125 105 189 120 102 102 12
 61 224 51 -35 0 0 0 41 15 122 67 206 107 121 103 25
 43 213 49 -57 0 0 0 28 20 111 58 194 112 106 108 6
 26 249 67 -14 0 0 0 38 -11 130 33 225 87 148 97 53
